time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-07T10:11:30.060Z,17.9798333333333,-66.9453333333333,12.45,2.71,md,12.0,170.0,0.06307,0.09,pr,pr71402838,2023-04-07T11:25:50.590Z,"3 km WSW of Fuig, Puerto Rico",earthquake,0.4,0.45,0.0809760297275917,7.0,reviewed,pr,pr
2023-04-07T10:09:32.900Z,38.8308334,-122.8180008,1.72,1.2,md,17.0,94.0,0.00967,0.01,nc,nc73868535,2023-04-07T13:39:15.450Z,"8km NW of The Geysers, CA",earthquake,0.22,0.34,0.12,21.0,automatic,nc,nc
2023-04-07T10:07:10.080Z,32.907,-116.4013333,11.29,0.91,ml,10.0,90.0,0.09508,0.17,ci,ci40437568,2023-04-07T10:10:45.061Z,"15km NE of Pine Valley, CA",earthquake,0.53,1.02,0.393,3.0,automatic,ci,ci
2023-04-07T10:04:29.560Z,61.4381,-150.8196,64.9,1.1,ml,,,,0.22,ak,ak0234gl3vj2,2023-04-07T13:21:06.408Z,Southern Alaska,earthquake,,2.2,,,reviewed,ak,ak
2023-04-07T09:58:37.625Z,59.6407,-153.792,1.3,1.5,ml,,,,0.6,ak,ak0234gku2s2,2023-04-07T10:00:36.076Z,"24 km SE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T09:54:57.500Z,38.7788315,-122.768837,1.29,1.26,md,15.0,99.0,0.008451,0.04,nc,nc73868530,2023-04-07T13:12:18.310Z,"1km W of The Geysers, CA",earthquake,0.29,0.4,0.17,15.0,automatic,nc,nc
2023-04-07T09:52:13.710Z,38.8448334,-122.8183365,1.34,1.16,md,14.0,68.0,0.01056,0.02,nc,nc73868525,2023-04-07T12:44:14.157Z,"9km WNW of Cobb, CA",earthquake,0.28,0.46,0.22,16.0,automatic,nc,nc
2023-04-07T09:46:05.851Z,60.362,-153.0291,120.9,2.0,ml,,,,0.45,ak,ak0234gkrfqh,2023-04-07T09:48:07.767Z,"73 km ENE of Port Alsworth, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-04-07T09:45:41.420Z,34.0356667,-116.649,10.84,0.88,ml,23.0,59.0,0.002977,0.17,ci,ci40437560,2023-04-07T09:49:10.066Z,"6km WSW of Morongo Valley, CA",earthquake,0.29,0.39,0.147,23.0,automatic,ci,ci
2023-04-07T09:37:33.720Z,38.8059998,-122.7799988,0.73,0.93,md,9.0,90.0,0.007268,0.02,nc,nc73868515,2023-04-07T10:01:16.200Z,"4km NNW of The Geysers, CA",earthquake,0.35,0.99,0.19,9.0,automatic,nc,nc
2023-04-07T09:31:19.390Z,61.452,-151.1311,49.6,1.0,ml,,,,0.35,ak,ak0234gko91f,2023-04-07T09:33:15.838Z,"34 km WSW of Susitna, Alaska",earthquake,,2.2,,,automatic,ak,ak
2023-04-07T09:30:59.980Z,53.8068333333333,-167.045833333333,36.36,0.76,ml,11.0,316.0,,0.23,av,av91838386,2023-04-07T17:35:16.520Z,"34 km WSW of Dutch Harbor, Alaska",earthquake,2.2,0.8,0.319236775446803,10.0,reviewed,av,av
2023-04-07T09:23:30.612Z,64.5407,-151.196,21.4,2.3,ml,,,,0.83,ak,ak0234gkmk6d,2023-04-07T09:25:00.787Z,"57 km SSW of Manley Hot Springs, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-04-07T09:14:43.980Z,18.3006666666667,-65.8688333333333,131.69,3.41,md,17.0,160.0,0.1589,0.21,pr,pr71402823,2023-04-07T17:53:54.503Z,"3 km NNE of Benitez, Puerto Rico",earthquake,1.88,0.83,0.0597772228213196,6.0,reviewed,pr,pr
2023-04-07T09:10:04.950Z,33.667,-116.6993333,12.73,0.26,ml,15.0,102.0,0.04576,0.13,ci,ci40437544,2023-04-07T13:35:18.316Z,"8km SSE of Idyllwild, CA",earthquake,0.4,0.51,0.147,7.0,reviewed,ci,ci
2023-04-07T09:07:52.300Z,60.9909,-151.1326,67.9,0.9,ml,,,,0.14,ak,ak0234gkj55i,2023-04-07T13:16:39.591Z,"8 km S of Tyonek, Alaska",earthquake,,1.9,,,reviewed,ak,ak
